,state,x,y
0,Andhra Pradesh,-58.0,-140.0
1,Arunachal Pradesh,234.0,152.0
2,Assam,196.0,108.0
3,Bihar,65.0,87.0
4,Chhattisgarh,-6.0,1.0
5,Goa,-177.0,-134.0
6,Gujarat,-213.0,33.0
7,Haryana,-114.0,159.0
8,Himachal Pradesh,-91.0,215.0
9,Jharkhand,49.0,38.0
10,Karnataka,-141.0,-134.0
11,Kerala,-134.0,-232.0
12,Madhya Pradesh,-88.0,36.0
13,Maharashtra,-151.0,-44.0
14,Manipur,230.0,70.0
15,Meghalaya,166.0,68.0
16,Mizoram,214.0,36.0
17,Nagaland,249.0,104.0
18,Odisha,49.0,-13.0
19,Punjab,-131.0,191.0
20,Rajasthan,-172.0,112.0
21,Sikkim,120.0,130.0
22,Tamil Nadu,-84.0,-226.0
23,Telangana,-70.0,-86.0
24,Tripura,180.0,52.0
25,Uttar Pradesh,-34.0,94.0
26,Uttarakhand,-64.0,182.0
27,West Bengal,104.0,24.0
